preprocessed_feature,concept_id,run_nr,amount_runs_feature_occured,amount_runs_feature_occured_within_concept,decoded_feature
it comes in various sizes and shapes,basket,25,10,6,comes in various sizes and shapes
it is often made from natural materials like wicker or bamboo,basket,25,1,1,is often made from natural materials like wicker
it is often made from natural materials like wicker or bamboo,basket,25,2,2,is often made from natural materials like bamboo
it can be used for carrying items,basket,25,10,9,is used to carry items
it can be used for picnics,basket,25,1,1,is used for picnics
it is a mammal,bear,25,10,10,is a mammal
it has fur,bear,25,10,9,has fur
it is large,bear,25,10,10,is large
it has claws,bear,25,10,8,has claws
it has teeth,bear,25,10,2,has teeth
it is strong,bear,25,10,9,is strong
it can stand on its hind legs,bear,25,6,6,stands on its hind legs
it is a carnivore and an omnivore,bear,25,9,4,is an omnivore
it is a carnivore and an omnivore,bear,25,10,8,is a carnivore
it hibernates,bear,25,9,9,hibernates
it has a powerful sense of smell,bear,25,6,6,has a powerful sense of smell
it can swim,bear,25,10,7,swims
it is found in forests and mountains,bear,25,2,2,is found in mountains
it is found in forests and mountains,bear,25,6,3,is found in forests
it is an animal,beaver,25,10,2,is an animal
it has fur,beaver,25,10,6,has fur
it has a flat tail,beaver,25,10,10,has a flat tail
it is a rodent,beaver,25,10,10,is a rodent
it chews wood,beaver,25,2,2,chews wood
it builds dams,beaver,25,10,10,builds dams
it has sharp teeth,beaver,25,10,7,has sharp teeth
it is semi-aquatic,beaver,25,10,10,is semi - aquatic
it lives near rivers and ponds,beaver,25,2,2,lives near rivers and ponds
it has webbed feet,beaver,25,10,7,has webbed feet
it is brown,beaver,25,10,3,is brown
it is herbivorous,beaver,25,10,8,is herbivorous
it is cylindrical,barrel,25,10,10,is cylindrical
it is made of wood or metal,barrel,25,10,6,is made of metal
it is made of wood or metal,barrel,25,10,10,is made of wood
it has a hollow interior,barrel,25,4,2,has a hollow interior
it is used for storage,barrel,25,10,10,is used for storage
it holds liquids or solids,barrel,25,8,5,holds solids
it holds liquids or solids,barrel,25,10,7,holds liquids
it has curved sides,barrel,25,2,2,has curved sides
it has a flat top and bottom,barrel,25,2,2,has a flat top and bottom
it is sealed with a lid or cork,barrel,25,1,1,is sealed with a lid
it is sealed with a lid or cork,barrel,25,2,1,is sealed with a cork
it is sturdy,barrel,25,10,6,is sturdy
it can be rolled,barrel,25,5,5,is rolled
it is used for aging wine or spirits,barrel,25,6,6,is used to age spirits
it is used for aging wine or spirits,barrel,25,8,8,is used to age wine
it is edible,bean,25,10,8,is edible
it is a legume,bean,25,9,9,is a legume
it is a plant,bean,25,10,2,is a plant
it has protein,bean,25,1,1,has protein
it has fiber,bean,25,2,1,has fiber
it comes in various colors and shapes,bean,25,6,3,comes in various colors and shapes
it can be dried or canned,bean,25,3,3,is dried or canned
it can be cooked,bean,25,6,3,is cooked
it is a staple food in many cultures,bean,25,4,2,is a staple food in many cultures
it grows in pods,bean,25,2,2,grows in pods
it is nutritious,bean,25,10,1,is nutritious
it is a source of carbohydrates,bean,25,7,1,is a source of carbohydrates
it is a piece of furniture,bed,25,10,3,is a piece of furniture
it is used for sleeping,bed,25,10,10,is used to sleep
it has a mattress,bed,25,10,10,has a mattress
it has pillows,bed,25,9,9,has pillows
it has blankets or sheets,bed,25,2,2,has blankets
it has blankets or sheets,bed,25,7,7,has sheets
it comes in various sizes (e.g.,bed,25,10,5,comes in various sizes
it provides comfort,bed,25,8,4,provides comfort
it can have a headboard and footboard,bed,25,6,6,has a headboard and footboard
it can have a bed frame or box spring,bed,25,1,1,has a bed frame or box spring
it is made of leather or fabric,belt,25,9,9,is made of leather
it is made of leather or fabric,belt,25,10,6,is made of fabric
it is used to secure clothing,belt,25,3,3,is used to secure clothing
it is worn around the waist,belt,25,10,9,is worn around the waist
it has a buckle,belt,25,10,10,has a buckle
it is adjustable,belt,25,10,10,is adjustable
it can be decorative,belt,25,10,7,is decorative
it has holes,belt,25,10,1,has holes
it is long and narrow,belt,25,10,6,is long
it is long and narrow,belt,25,9,2,is narrow
it can be used as a fashion accessory,belt,25,2,1,is used as a fashion accessory
it is an insect,beetle,25,10,10,is an insect
it has six legs,beetle,25,10,10,has six legs
it has two antennae,beetle,25,2,1,has two antennae
it has a hard exoskeleton,beetle,25,10,10,has a hard exoskeleton
it has wings,beetle,25,10,5,has wings
it can fly,beetle,25,10,10,flies
it has a head,beetle,25,10,2,has a head
it is small,beetle,25,10,6,is small
it comes in various colors and shapes,beetle,25,6,3,comes in various colors and shapes
it is found in diverse habitats,beetle,25,1,1,is found in diverse habitats
it is an appliance,blender,25,10,7,is an appliance
it is electric,blender,25,10,7,is electric
it has a motor,blender,25,10,10,has a motor
it is used for mixing and blending,blender,25,1,1,is used to blend
it is used for mixing and blending,blender,25,10,10,is used to mix
it has blades,blender,25,10,10,has a blade
it has a container or jar,blender,25,6,6,has a jar
it has a container or jar,blender,25,10,10,has a container
it has a lid,blender,25,10,8,has a lid
it has various speed settings,blender,25,3,3,has various speed settings
it is used in kitchens,blender,25,7,4,is used in kitchens
it is used for making smoothies and other recipes,blender,25,1,1,is used to make smoothies and other recipes
it has a power cord,blender,25,8,1,has a power cord
it is made of wood,bench,25,10,10,is made of wood
it is a seat,bench,25,2,2,is a seat
it is used for sitting,bench,25,10,10,is used to sit
it has legs,bench,25,10,7,has legs
it is found in parks,bench,25,8,7,is found in parks
it is long,bench,25,10,10,is long
it can accommodate multiple people,bench,25,7,7,accommodates multiple people
it is sturdy,bench,25,10,9,is sturdy
it is an outdoor furniture,bench,25,3,3,is an outdoor furniture
it is an outdoor furniture,bench,25,4,4,is a furniture
it is an outdoor furniture,bench,25,3,3,is outdoor
it is a baked good,biscuit,25,3,3,is a baked good
it is a baked good,biscuit,25,10,10,is baked
it is a baked good,biscuit,25,3,3,is a good
it is crunchy,biscuit,25,10,8,is crunchy
it is sweet,biscuit,25,10,10,is sweet
it comes in various flavors,biscuit,25,9,3,comes in various flavors
it is made from flour,biscuit,25,10,8,is made from flour
it has a crumbly texture,biscuit,25,6,6,has a crumbly texture
it can be served with tea or coffee,biscuit,25,3,3,is served with tea
it can be served with tea or coffee,biscuit,25,3,3,is served with coffee
it can be round or square-shaped,biscuit,25,2,2,is round or square - shaped
it has a long shelf life,biscuit,25,3,2,has a long shelf life
it is a garment,blouse,25,10,4,is a garment
it is worn by women,blouse,25,10,10,is worn by women
it has sleeves,blouse,25,10,10,has sleeves
it is made of fabric,blouse,25,10,6,is made of fabric
it covers the upper body,blouse,25,10,6,covers the upper body
it has buttons or other fastenings,blouse,25,3,3,has buttons or other fastenings
it comes in various colors and patterns,blouse,25,10,6,comes in various colors and patterns
it can be casual or formal,blouse,25,10,9,is formal
it can be casual or formal,blouse,25,10,10,is casual
it can have a collar,blouse,25,10,5,has a collar
it can be short-sleeved or long-sleeved,blouse,25,2,1,is short - sleeved or long - sleeved
it is a fruit,blueberry,25,10,10,is a fruit
it is small,blueberry,25,10,10,is small
it is round,blueberry,25,10,10,is round
it is blue,blueberry,25,10,10,is blue
it is sweet,blueberry,25,10,8,is sweet
it is juicy,blueberry,25,10,5,is juicy
it has a slightly tart flavor,blueberry,25,4,4,has a slightly tart flavor
it grows on a bush,blueberry,25,2,1,grows on bushes
it contains antioxidants,blueberry,25,8,5,contains antioxidants
it is used in cooking and baking,blueberry,25,10,5,is used in baking
it is used in cooking and baking,blueberry,25,10,4,is used in cooking
it can be eaten fresh or frozen,blueberry,25,7,7,is eaten fresh
it can be eaten fresh or frozen,blueberry,25,6,6,is eaten frozen
it is a popular ingredient in smoothies and desserts,blueberry,25,1,1,is a popular ingredient in smoothies
it is a popular ingredient in smoothies and desserts,blueberry,25,1,1,is a dessert
it floats,boat,25,10,6,floats
it is used for transportation,boat,25,10,10,is used for transportation
it has a hull,boat,25,10,10,has a hull
it is made of wood or metal,boat,25,10,4,is made of metal
it is made of wood or metal,boat,25,10,4,is made of wood
it travels on water,boat,25,7,5,travels on water
it can be powered by sails or engines,boat,25,7,6,is powered by engines
it can be powered by sails or engines,boat,25,9,8,is powered by sails
it has a steering mechanism,boat,25,2,2,has a steering mechanism
it can carry passengers or cargo,boat,25,9,2,carries cargo
it can carry passengers or cargo,boat,25,10,2,carries passengers
it has a deck,boat,25,8,4,has a deck
it can be used for recreational activities such as fishing or sailing,boat,25,7,1,is used for recreational activities
it is explosive,bomb,25,10,10,is explosive
it is dangerous,bomb,25,10,10,is dangerous
it can cause destruction,bomb,25,8,8,causes destruction
it has a detonator,bomb,25,9,9,has a detonator
it is used in warfare,bomb,25,10,6,is used in warfare
it can be used as a weapon,bomb,25,10,6,is used as a weapon
it releases energy when detonated,bomb,25,5,5,releases energy
it can be made of various materials,bomb,25,10,1,is made of various materials
it can have different shapes and sizes,bomb,25,2,1,has different shapes and sizes
it can be triggered remotely or by impact,bomb,25,1,1,is triggered remotely or by impact
it has pages,book,25,10,10,has pages
it contains text,book,25,10,10,contains text
it is made of paper,book,25,10,10,is made of paper
it has a cover,book,25,10,10,has a cover
it is rectangular,book,25,10,7,is rectangular
it can be hardcover or paperback,book,25,9,9,is hardcover or paperback
it stores information,book,25,2,2,stores information
it can be fiction or non-fiction,book,25,4,4,is fiction or non - fiction
it is portable,book,25,10,9,is portable
it is used for reading,book,25,8,8,is used to read
it can have illustrations,book,25,5,5,has illustrations
it has a spine,book,25,9,9,has a spine
it has a title and author,book,25,1,1,has a title and author
it is a container,bottle,25,7,2,is a container
it can be made of glass or plastic,bottle,25,10,10,is made of glass
it can be made of glass or plastic,bottle,25,10,10,is made of plastic
it has a cap or lid,bottle,25,7,7,has a cap or lid
it can be transparent or opaque,bottle,25,10,10,is opaque
it can be transparent or opaque,bottle,25,10,10,is transparent
it can hold liquids or solids,bottle,25,8,1,holds solids
it can hold liquids or solids,bottle,25,10,1,holds liquids
it is used for storage,bottle,25,10,5,is used for storage
it can be recyclable,bottle,25,8,8,is reusable
it has a cylindrical shape,bottle,25,9,1,has a cylindrical shape
it can have a narrow neck,bottle,25,6,6,has a narrow neck
it can be sealed,bottle,25,7,2,is sealed
it is made of flowers,bouquet,25,5,5,is made of flowers
it is colorful,bouquet,25,10,9,is colorful
it is fragrant,bouquet,25,7,7,is fragrant
it is used for decoration,bouquet,25,10,8,is used for decoration
it is a gift,bouquet,25,6,6,is a gift
it can be held in hand,bouquet,25,3,1,is held in hand
it is used in weddings,bouquet,25,7,5,is used in weddings
it has a ribbon or wrapping,bouquet,25,1,1,has a wrapping
it has a ribbon or wrapping,bouquet,25,1,1,has a ribbon
it has various shapes and sizes,bouquet,25,7,2,has various shapes and sizes
it can be made from fresh or artificial flowers,bouquet,25,1,1,is made from fresh or artificial flowers
it is round,bowl,25,10,10,is round
it is hollow,bowl,25,10,7,is hollow
it holds food or liquids,bowl,25,10,1,holds liquids
it holds food or liquids,bowl,25,3,2,holds food
it is made of materials like ceramic,bowl,25,2,2,is made of materials like ceramic
it has a flat base,bowl,25,6,3,has a flat base
it has a smooth surface,bowl,25,10,3,has a smooth surface
it comes in various sizes and colors,bowl,25,7,2,comes in various sizes and colors
it is used for serving or mixing purposes,bowl,25,1,1,is used to serve or mixing purposes
it has edges,box,25,3,2,has edges
it is made of cardboard,box,25,7,7,is made of cardboard
it is solid,box,25,10,1,is solid
it has a shape (usually rectangular or square),box,25,1,1,has a shape
it can be opened and closed,box,25,9,4,is opened and closed
it can store items,box,25,1,1,stores items
it is used for packaging and shipping,box,25,3,2,is used for packaging
it is used for packaging and shipping,box,25,5,5,is used to ship
it can be made of wood or plastic,box,25,10,7,is made of wood
it can be made of wood or plastic,box,25,10,6,is made of plastic
it has sides (usually six),box,25,4,4,has sides
it can be stackable,box,25,9,1,is stackable
it is a piece of clothing,bra,25,9,5,is a piece of clothing
it supports breasts,bra,25,3,3,supports breasts
it is worn by women,bra,25,10,10,is worn by women
it has straps,bra,25,10,10,has straps
it has cups,bra,25,10,10,has cups
it is made of fabric,bra,25,10,8,is made of fabric
it has a band,bra,25,3,3,has a band
it has a clasp or hooks,bra,25,2,2,has a clasp or hooks
it comes in various sizes and styles,bra,25,9,2,comes in various sizes and styles
it can be padded or non-padded,bra,25,1,1,is padded or non - padded
it can be wired or non-wired,bra,25,1,1,is wired or non - wired
it is green,broccoli,25,10,10,is green
it is a vegetable,broccoli,25,10,10,is a vegetable
it has a stalk,broccoli,25,7,6,has a stalk
it has florets,broccoli,25,9,8,has florets
